Time,BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,BidPrice6,BidVolume6,BidPrice7,BidVolume7,BidPrice8,BidVolume8,BidPrice9,BidVolume9,BidPriceA,BidVolumeA,BidPrice11,BidVolume11,BidPrice12,BidVolume12,BidPrice13,BidVolume13,BidPrice14,BidVolume14,BidPrice15,BidVolume15,BidPrice16,BidVolume16,BidPrice17,BidVolume17,BidPrice18,BidVolume18,BidPrice19,BidVolume19,BidPrice20,BidVolume20,OfferPrice1,OfferVolume1,OfferPrice2,OfferVolume2,OfferPrice3,OfferVolume3,OfferPrice4,OfferVolume4,OfferPrice5,OfferVolume5,OfferPrice6,OfferVolume6,OfferPrice7,OfferVolume7,OfferPrice8,OfferVolume8,OfferPrice9,OfferVolume9,OfferPriceA,OfferVolumeA,OfferPrice11,OfferVolume11,OfferPrice12,OfferVolume12,OfferPrice13,OfferVolume13,OfferPrice14,OfferVolume14,OfferPrice15,OfferVolume15,OfferPrice16,OfferVolume16,OfferPrice17,OfferVolume17,OfferPrice18,OfferVolume18,OfferPrice19,OfferVolume19,OfferPrice20,OfferVolume20
09:30:00.200,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,7600.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,102900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.260,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,7600.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,102900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.330,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,7600.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,102900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.330,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,7600.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,3000.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,3400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,307500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28200.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.390,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,43700.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.510,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0,7.04,2500.0
09:30:00.510,6.82,1000.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,13600.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,27900.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,22000.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,308500.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.510,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.660,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.660,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,56000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.660,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24100.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,156000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.660,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,2500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24500.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,156000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.780,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.62,3000.0,6.84,3500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24500.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,156000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
09:30:00.780,6.82,1700.0,6.81,21000.0,6.8,3700.0,6.79,500.0,6.78,4500.0,6.77,100.0,6.76,11000.0,6.75,21200.0,6.74,5000.0,6.73,18400.0,6.72,4000.0,6.71,3000.0,6.7,76200.0,6.69,50000.0,6.68,2600.0,6.67,6000.0,6.66,1500.0,6.65,37600.0,6.64,12200.0,6.63,400.0,6.84,3500.0,6.85,20400.0,6.86,3800.0,6.87,1300.0,6.88,35100.0,6.89,24500.0,6.9,103900.0,6.91,13400.0,6.92,28500.0,6.93,8000.0,6.94,3800.0,6.95,43300.0,6.96,15800.0,6.97,10800.0,6.98,156000.0,6.99,44100.0,7.0,314400.0,7.01,13900.0,7.02,22600.0,7.03,3400.0
