OrderTime,InstrumentID,Price,Volume,ApplSeqNum,OrderBSFlag,ADFlag
09:30:00.200,600029,7.11,6000,223387,S,A
09:30:00.260,600029,6.6,300,223510,B,A
09:30:00.330,600029,7.05,2000,224711,S,A
09:30:00.330,600029,6.9,1000,224764,S,A
09:30:00.390,600029,6.73,15000,225184,B,A
09:30:00.390,600029,7.0,1000,225581,S,A
09:30:00.390,600029,6.92,300,226019,S,A
09:30:00.390,600029,7.48,200,226343,S,A
09:30:00.510,600029,6.99,400,226506,S,A
09:30:00.510,600029,6.87,1300,226824,S,A
09:30:00.510,600029,6.82,700,226827,B,A
09:30:00.510,600029,6.96,2200,226891,S,A
09:30:00.510,600029,7.48,1000,227360,S,A
09:30:00.510,600029,6.88,7200,227399,S,A
09:30:00.510,600029,6.89,2100,227924,S,A
09:30:00.510,600029,7.0,5900,227960,S,A
09:30:00.510,600029,7.48,600,228001,S,A
09:30:00.660,600029,6.18,1000,146437,B,D
09:30:00.660,600029,7.14,600,228527,S,A
09:30:00.660,600029,6.98,100000,228933,S,A
09:30:00.660,600029,6.89,400,229435,S,A
09:30:00.780,600029,6.84,1000,230013,S,A
09:30:00.780,600029,6.69,50000,230321,B,A
09:30:00.780,600029,7.09,500,230600,S,A
09:30:00.780,600029,6.64,50000,231371,B,A
09:30:00.900,600029,6.58,1100,231808,B,A
09:30:00.900,600029,7.28,100,232174,S,A
09:30:00.900,600029,6.99,300,232750,S,A
09:30:00.900,600029,6.99,200,232757,S,A
09:30:00.900,600029,7.38,5000,232974,S,A
09:30:00.900,600029,7.18,2800,232977,S,A
09:30:01.030,600029,7.0,1000,233710,S,A
09:30:01.030,600029,7.48,800,234004,S,A
09:30:01.030,600029,7.09,3000,234116,S,A
09:30:01.030,600029,7.1,2000,234344,S,A
09:30:01.030,600029,6.98,600,234506,S,A
09:30:01.030,600029,7.47,100,234900,S,A
09:30:01.030,600029,7.41,500,234945,S,A
09:30:01.150,600029,7.0,200,235298,S,A
09:30:01.150,600029,6.96,2000,235837,S,A
09:30:01.150,600029,6.84,8000,236122,S,A
09:30:01.150,600029,6.99,1500,236382,S,A
09:30:01.150,600029,6.76,10000,236499,B,A
09:30:01.150,600029,6.82,100,236744,S,A
09:30:01.280,600029,6.4,1500,237275,B,A
09:30:01.280,600029,7.0,1100,237774,S,A
09:30:01.280,600029,6.98,1000,238039,S,A
09:30:01.280,600029,6.99,10000,238255,S,A
09:30:01.280,600029,6.88,500,238662,S,A
09:30:01.410,600029,7.0,800,239238,S,A
09:30:01.410,600029,7.48,100,240206,S,A
09:30:01.540,600029,6.99,10000,238255,S,D
09:30:01.540,600029,6.87,3300,241102,S,A
09:30:01.540,600029,6.96,300,241426,S,A
09:30:01.540,600029,7.48,1800,242253,S,A
09:30:01.660,600029,6.95,20000,242504,S,A
09:30:01.660,600029,6.99,2000,243565,S,A
09:30:01.800,600029,6.9,900,244330,S,A
09:30:01.800,600029,7.3,1000,244344,S,A
09:30:01.800,600029,6.76,500,244397,B,A
09:30:01.800,600029,7.0,1000,244559,S,A
09:30:01.800,600029,7.24,2000,244807,S,A
09:30:01.800,600029,6.87,3200,245202,S,A
09:30:01.800,600029,7.1,4000,245732,S,A
09:30:01.800,600029,6.75,14500,245980,B,A
09:30:01.930,600029,6.58,61400,246149,B,A
09:30:01.930,600029,6.82,100,246315,S,A
09:30:01.930,600029,6.9,1000,246422,S,A
09:30:01.930,600029,6.92,10000,247057,S,A
09:30:02.060,600029,7.0,10000,247925,S,A
09:30:02.060,600029,7.01,10000,248224,S,A
09:30:02.060,600029,6.95,5000,248554,S,A
09:30:02.060,600029,7.23,100,248962,S,A
09:30:02.060,600029,7.1,2000,249011,S,A
09:30:02.060,600029,7.0,40000,249316,S,A
09:30:02.060,600029,6.99,9000,249354,S,A
09:30:02.180,600029,6.88,500,249603,S,A
09:30:02.180,600029,6.9,6000,249871,S,A
09:30:02.180,600029,6.9,2400,250034,S,A
09:30:02.180,600029,6.89,20000,250052,S,A
09:30:02.180,600029,6.99,10000,250401,S,A
09:30:02.180,600029,7.16,9000,250667,S,A
09:30:02.180,600029,6.87,3600,250761,S,A
09:30:02.340,600029,6.92,3000,251255,S,A
09:30:02.340,600029,6.94,30000,251524,S,A
09:30:02.340,600029,7.44,2000,251636,S,A
09:30:02.340,600029,6.82,500,251670,B,A
09:30:02.340,600029,7.05,1000,251773,S,A
09:30:02.340,600029,7.25,21600,252168,S,A
09:30:02.470,600029,7.48,100,253166,S,A
09:30:02.470,600029,6.3,800,253579,B,A
09:30:02.620,600029,6.86,1000,254313,S,A
09:30:02.620,600029,6.96,4900,254341,S,A
09:30:02.620,600029,6.8,4100,254538,B,A
09:30:02.670,600029,6.96,4900,254341,S,D
09:30:02.670,600029,6.87,1500,255305,S,A
09:30:02.670,600029,7.48,2900,255396,S,A
09:30:02.670,600029,7.1,20000,255401,S,A
09:30:02.670,600029,7.12,9100,256197,S,A
09:30:02.670,600029,7.0,1200,256357,S,A
09:30:02.810,600029,7.03,100,257052,S,A
09:30:02.810,600029,7.0,6000,257328,S,A
09:30:02.930,600029,7.1,4000,258308,S,A
09:30:02.930,600029,6.87,1600,258454,S,A
09:30:02.930,600029,7.0,10000,258511,S,A
09:30:02.930,600029,6.95,2000,258699,S,A
09:30:02.930,600029,6.81,28600,259077,S,A
09:30:02.930,600029,7.48,2500,259122,S,A
09:30:02.930,600029,7.46,100,259181,S,A
09:30:02.930,600029,7.48,2000,259442,S,A
09:30:02.930,600029,7.0,7000,259553,S,A
09:30:02.930,600029,7.3,1000,259898,S,A
09:30:03.060,600029,6.6,5000,148769,B,D
09:30:03.060,600029,6.93,100,260751,S,A
09:30:03.060,600029,6.82,16,261417,S,A
09:30:03.060,600029,6.84,100,261420,S,A
09:30:03.180,600029,6.89,400,261889,S,A
09:30:03.180,600029,7.0,5000,262095,S,A
09:30:03.180,600029,7.2,30000,262434,S,A
09:30:03.180,600029,7.26,500,263428,S,A
09:30:03.310,600029,7.48,200,263522,S,A
09:30:03.310,600029,6.83,20000,263881,S,A
09:30:03.310,600029,6.7,1000,264423,B,A
09:30:03.310,600029,6.9,1000,264669,S,A
09:30:03.310,600029,7.2,1200,265256,S,A
09:30:03.430,600029,7.4,200,265415,S,A
09:30:03.430,600029,6.95,10000,265447,S,A
09:30:03.430,600029,7.48,10000,266094,S,A
09:30:03.430,600029,7.2,10000,266143,S,A
09:30:03.430,600029,7.25,500,266175,S,A
09:30:03.430,600029,7.25,400,266932,S,A
09:30:03.570,600029,7.38,100,267474,S,A
09:30:03.570,600029,6.87,300,267560,S,A
09:30:03.570,600029,6.7,1000,267692,B,A
09:30:03.570,600029,7.0,500,268050,S,A
09:30:03.570,600029,6.98,5000,268370,S,A
09:30:03.570,600029,6.98,5000,268370,S,D
09:30:03.700,600029,7.48,100,269355,S,A
09:30:03.700,600029,6.5,1000,269756,B,A
09:30:03.700,600029,7.2,1000,270167,S,A
09:30:03.700,600029,6.95,20000,173695,S,D
09:30:03.700,600029,6.9,500,270559,S,A
09:30:03.700,600029,7.0,500,270560,S,A
09:30:03.840,600029,7.47,1000,271074,S,A
09:30:03.840,600029,7.1,10000,271835,S,A
09:30:03.840,600029,7.1,10000,272291,S,A
09:30:03.970,600029,6.89,2000,272514,S,A
09:30:03.970,600029,6.99,500,272686,S,A
09:30:03.970,600029,7.18,4800,272737,S,A
09:30:03.970,600029,6.6,3100,273182,B,A
09:30:03.970,600029,7.48,600,273353,S,A
09:30:03.970,600029,6.71,54000,273528,B,A
09:30:03.970,600029,6.87,10000,273691,S,A
09:30:03.970,600029,6.71,15000,273781,B,A
09:30:04.120,600029,7.48,3000,274225,S,A
09:30:04.120,600029,7.0,800,274809,S,A
09:30:04.120,600029,7.07,1000,274840,S,A
09:30:04.120,600029,7.23,1000,274843,S,A
09:30:04.120,600029,6.99,3000,275004,S,A
09:30:04.120,600029,6.95,2300,275476,S,A
09:30:04.120,600029,7.12,1000,275656,S,A
09:30:04.120,600029,7.4,10000,275697,S,A
09:30:04.120,600029,7.18,4500,275726,S,A
09:30:04.390,600029,7.3,10000,276052,S,A
09:30:04.390,600029,7.18,700,277121,S,A
09:30:04.390,600029,7.0,10000,277346,S,A
09:30:04.390,600029,7.08,1000,277818,S,A
09:30:04.510,600029,6.15,500,278046,B,A
09:30:04.510,600029,7.48,3400,278819,S,A
09:30:04.510,600029,7.4,2500,278821,S,A
09:30:04.510,600029,7.3,100,279144,S,A
09:30:04.510,600029,6.99,2000,279231,S,A
09:30:04.510,600029,6.87,500,279401,S,A
09:30:04.510,600029,7.04,2000,279543,S,A
09:30:04.640,600029,7.48,500,279948,S,A
09:30:04.640,600029,6.3,1100,279993,B,A
09:30:04.640,600029,6.9,14500,280024,S,A
09:30:04.640,600029,7.05,1500,280655,S,A
09:30:04.640,600029,6.87,3600,250761,S,D
09:30:04.640,600029,6.77,3100,281194,B,A
09:30:04.640,600029,6.84,2000,281215,S,A
09:30:04.640,600029,6.87,1300,226824,S,D
09:30:04.640,600029,6.77,1100,281236,B,A
09:30:04.760,600029,6.87,3300,241102,S,D
09:30:04.760,600029,6.77,2800,281560,B,A
09:30:04.760,600029,6.99,3000,275004,S,D
09:30:04.760,600029,7.05,1000,281898,S,A
09:30:04.760,600029,6.87,1600,258454,S,D
09:30:04.760,600029,7.1,500,282176,S,A
09:30:04.760,600029,7.3,500,282182,S,A
09:30:04.760,600029,6.82,3200,282332,S,A
09:30:04.760,600029,6.83,3200,282343,S,A
09:30:04.760,600029,6.77,3200,282344,B,A
09:30:04.760,600029,6.84,100,282348,S,A
09:30:04.760,600029,6.77,1300,282400,B,A
09:30:04.760,600029,6.87,1500,255305,S,D
09:30:04.760,600029,6.99,2000,282589,S,A
09:30:04.760,600029,6.81,200,283097,S,A
09:30:04.760,600029,6.81,2200,283103,S,A
09:30:04.890,600029,7.1,5000,283263,S,A
09:30:05.000,600029,7.2,1000,284760,S,A
09:30:05.110,600029,6.84,3000,285996,S,A
09:30:05.110,600029,6.96,1600,286546,S,A
09:30:05.110,600029,6.81,11400,286697,B,A
09:30:05.110,600029,7.36,1900,286883,S,A
09:30:05.110,600029,7.3,1400,287186,S,A
09:30:05.110,600029,6.82,100,287438,S,A
09:30:05.240,600029,6.84,800,287712,S,A
09:30:05.310,600029,7.04,10000,288096,S,A
09:30:05.360,600029,7.07,500,288994,S,A
09:30:05.360,600029,7.3,26600,289108,S,A
09:30:05.360,600029,7.0,4000,289166,S,A
09:30:05.360,600029,6.94,1000,289345,S,A
09:30:05.360,600029,6.8,2100,289475,B,A
09:30:05.360,600029,6.93,800,289512,S,A
09:30:05.360,600029,7.4,1000,289727,S,A
09:30:05.360,600029,7.15,2700,289906,S,A
09:30:05.360,600029,7.0,200,290095,S,A
09:30:05.360,600029,6.82,18000,290105,S,A
09:30:05.490,600029,6.8,2600,290634,B,A
09:30:05.490,600029,7.09,3000,290972,S,A
09:30:05.490,600029,6.99,2500,291271,S,A
09:30:05.490,600029,6.8,1900,291318,B,A
09:30:05.490,600029,7.0,1000,291530,S,A
09:30:05.490,600029,7.0,1000,291565,S,A
09:30:05.570,600029,6.99,2000,291947,S,A
09:30:05.570,600029,6.95,200,292958,S,A
09:30:05.700,600029,6.58,4000,293993,B,A
09:30:05.700,600029,7.3,1000,294255,S,A
09:30:05.700,600029,6.99,800,294289,S,A
09:30:05.700,600029,6.87,2000,294486,S,A
09:30:05.700,600029,7.48,1000,294836,S,A
09:30:05.700,600029,6.9,2000,294916,S,A
09:30:05.700,600029,6.8,900,294917,B,A
09:30:05.830,600029,6.95,5000,295513,S,A
09:30:05.830,600029,6.99,1000,295750,S,A
09:30:05.830,600029,6.8,1100,295751,B,A
09:30:05.830,600029,6.8,2000,295752,B,A
09:30:05.830,600029,6.84,100,295821,S,A
09:30:05.830,600029,6.7,400,295827,B,A
09:30:05.830,600029,6.6,2900,296064,B,A
09:30:05.830,600029,6.83,2900,296304,S,A
09:30:05.830,600029,6.82,2900,296305,S,A
09:30:05.830,600029,6.77,2900,296306,B,A
09:30:05.830,600029,6.9,1700,296544,S,A
09:30:05.830,600029,7.3,2000,296637,S,A
09:30:05.970,600029,7.47,10000,297325,S,A
09:30:05.970,600029,6.84,300,297425,S,A
09:30:05.970,600029,6.5,1000,297580,B,A
09:30:05.970,600029,6.84,2000,297942,S,A
09:30:05.970,600029,7.48,3000,298103,S,A
09:30:05.970,600029,7.19,10900,298182,S,A
09:30:05.970,600029,6.99,1000,298362,S,A
09:30:05.970,600029,6.7,1000,298611,B,A
09:30:05.970,600029,6.98,7300,298638,S,A
09:30:06.110,600029,6.95,13000,298729,S,A
09:30:06.110,600029,6.98,500,298983,S,A
09:30:06.110,600029,7.1,400,299370,S,A
09:30:06.110,600029,7.0,2000,299442,S,A
09:30:06.110,600029,7.4,3000,299761,S,A
09:30:06.110,600029,7.25,21900,299792,S,A
09:30:06.110,600029,6.95,2800,299806,S,A
09:30:06.110,600029,6.15,500,278046,B,D
09:30:06.280,600029,6.63,2000,300517,B,A
09:30:06.280,600029,7.2,2000,300985,S,A
09:30:06.280,600029,6.88,300,301305,S,A
09:30:06.280,600029,6.95,500,181503,S,D
09:30:06.280,600029,7.0,2000,302203,S,A
09:30:06.280,600029,7.0,60300,302239,S,A
09:30:06.420,600029,6.99,500,302407,S,A
09:30:06.420,600029,6.8,2200,303239,B,A
09:30:06.550,600029,7.38,1000,304861,S,A
09:30:06.670,600029,7.01,4000,306005,S,A
09:30:06.670,600029,7.29,5000,306027,S,A
09:30:06.670,600029,7.04,2000,306230,S,A
09:30:06.670,600029,7.28,1000,306298,S,A
09:30:06.670,600029,6.75,3100,306414,B,A
09:30:06.820,600029,7.48,300,307997,S,A
09:30:06.820,600029,7.06,600,308009,S,A
09:30:06.940,600029,7.3,3000,309723,S,A
09:30:06.940,600029,7.33,2000,309734,S,A
09:30:06.940,600029,7.37,1000,309867,S,A
09:30:06.940,600029,6.83,10000,309972,S,A
09:30:06.940,600029,7.06,2000,310634,S,A
09:30:06.940,600029,7.07,2000,310704,S,A
09:30:06.940,600029,7.2,3000,310869,S,A
09:30:07.070,600029,7.0,3000,312545,S,A
09:30:07.070,600029,6.81,26000,312668,B,A
09:30:07.070,600029,6.8,2300,312669,B,A
09:30:07.200,600029,6.84,100,261420,S,D
09:30:07.200,600029,6.15,800,314009,B,A
09:30:07.440,600029,6.8,2400,314935,B,A
09:30:07.440,600029,6.81,4000,316162,B,A
09:30:07.440,600029,7.19,31600,316330,S,A
09:30:07.560,600029,6.96,1000,317162,S,A
09:30:07.630,600029,6.84,100,317614,S,A
09:30:07.700,600029,6.8,1300,318438,B,A
09:30:07.700,600029,6.8,2700,318442,B,A
09:30:07.700,600029,7.38,1000,318736,S,A
09:30:07.700,600029,6.89,100,318762,S,A
09:30:07.700,600029,7.2,200,318787,S,A
09:30:07.810,600029,6.88,100,318933,S,A
09:30:08.000,600029,6.84,2000,320270,S,A
09:30:08.000,600029,6.97,3000,320500,S,A
09:30:08.000,600029,6.9,10000,320630,S,A
09:30:08.000,600029,6.7,600,320700,B,A
09:30:08.130,600029,7.48,1000,321319,S,A
09:30:08.170,600029,7.0,2000,321959,S,A
09:30:08.210,600029,6.8,1300,322411,B,A
09:30:08.210,600029,6.8,1900,322441,B,A
09:30:08.250,600029,6.98,500,322608,S,A
09:30:08.320,600029,6.99,1000,322718,S,A
09:30:08.320,600029,7.31,8000,322893,S,A
09:30:08.320,600029,6.98,1000,322894,S,A
09:30:08.320,600029,7.48,1000,322948,S,A
09:30:08.320,600029,7.28,500,323012,S,A
09:30:08.360,600029,7.11,500,323405,S,A
09:30:08.360,600029,6.83,1600,323519,S,A
09:30:08.450,600029,6.83,100,323822,B,A
09:30:08.450,600029,7.3,100,323863,S,A
09:30:08.540,600029,7.05,500,324503,S,A
09:30:08.580,600029,6.81,11000,324698,B,A
09:30:08.580,600029,7.2,200,324820,S,A
09:30:08.610,600029,6.98,3000,325047,S,A
09:30:08.650,600029,6.96,40000,325230,S,A
09:30:08.730,600029,7.07,500,325563,S,A
09:30:08.730,600029,6.82,10400,325593,B,A
09:30:08.730,600029,6.84,400,325643,S,A
09:30:08.730,600029,7.0,10000,325733,S,A
09:30:08.770,600029,7.38,200,325998,S,A
09:30:09.050,600029,6.88,200,327858,S,A
09:30:09.160,600029,6.83,4700,328674,B,A
09:30:09.230,600029,7.48,1000,329262,S,A
09:30:09.230,600029,6.84,2184,329456,B,A
09:30:09.270,600029,7.48,1000,330056,S,A
09:30:09.310,600029,7.16,400,330118,S,A
09:30:09.310,600029,7.2,3000,330397,S,A
09:30:09.360,600029,7.48,1000,330762,S,A
09:30:09.360,600029,7.1,100,331054,S,A
09:30:09.400,600029,6.84,1884,329456,B,D
09:30:09.400,600029,7.48,1000,331716,S,A
09:30:09.440,600029,6.99,10000,331857,S,A
09:30:09.440,600029,7.48,200,331987,S,A
09:30:09.520,600029,6.77,3200,282344,B,D
09:30:09.600,600029,6.77,1300,282400,B,D
09:30:09.600,600029,6.83,2100,333180,B,A
09:30:09.600,600029,6.77,1100,281236,B,D
09:30:09.600,600029,6.77,3100,281194,B,D
09:30:09.650,600029,6.84,100,333706,B,A
09:30:09.650,600029,6.99,1400,333901,S,A
09:30:09.650,600029,6.77,2900,296306,B,D
09:30:09.700,600029,6.77,2800,281560,B,D
09:30:09.760,600029,6.81,8783,286697,B,D
09:30:09.760,600029,6.77,5000,334606,B,A
09:30:09.760,600029,7.18,500,334672,S,A
09:30:09.760,600029,6.92,1300,334740,S,A
09:30:09.760,600029,7.21,5000,334786,S,A
09:30:09.760,600029,7.2,100,335124,S,A
09:30:09.880,600029,6.93,3000,335903,S,A
09:30:09.960,600029,6.91,5000,336595,S,A
09:30:10.000,600029,6.78,1000,337219,B,A
09:30:10.040,600029,6.81,13900,337484,B,A
09:30:10.080,600029,7.1,10300,337774,S,A
09:30:10.230,600029,6.8,13900,338698,B,A
09:30:10.230,600029,6.99,10500,338940,S,A
09:30:10.230,600029,7.48,3000,338948,S,A
09:30:10.380,600029,7.1,100,331054,S,D
09:30:10.380,600029,6.66,2000,339984,B,A
09:30:10.420,600029,6.89,1000,340194,S,A
09:30:10.490,600029,6.87,100,340954,S,A
09:30:10.580,600029,7.15,1000,341433,S,A
09:30:10.700,600029,6.85,500,341926,S,A
09:30:10.700,600029,7.01,500,342100,S,A
09:30:10.730,600029,6.9,500,342391,S,A
09:30:10.730,600029,7.45,10000,342392,S,A
09:30:10.780,600029,6.39,9500,342460,B,A
09:30:10.780,600029,7.3,5000,342505,S,A
09:30:10.850,600029,6.9,2000,342897,S,A
09:30:10.850,600029,6.66,100,342975,B,A
09:30:10.850,600029,7.03,8100,343097,S,A
09:30:10.850,600029,7.15,5000,343150,S,A
09:30:10.920,600029,6.8,500,343387,B,A
09:30:10.920,600029,6.95,400,343455,S,A
09:30:10.920,600029,6.8,1800,343496,B,A
09:30:10.950,600029,6.8,1300,343618,B,A
09:30:10.950,600029,7.19,2000,343657,S,A
09:30:11.030,600029,7.32,2500,344042,S,A
09:30:11.030,600029,6.84,1100,344127,S,A
09:30:11.180,600029,6.83,1900,345257,B,A
09:30:11.220,600029,6.77,8500,345357,B,A
09:30:11.250,600029,6.93,50000,345590,S,A
09:30:11.360,600029,6.95,1000,345979,S,A
09:30:11.480,600029,6.2,500,346925,B,A
09:30:11.480,600029,7.0,20000,347071,S,A
09:30:11.590,600029,6.74,1000,347541,B,A
09:30:11.620,600029,7.48,10000,347654,S,A
09:30:11.620,600029,7.36,300,347797,S,A
09:30:11.720,600029,7.46,1500,348054,S,A
09:30:11.910,600029,6.99,100,349103,S,A
09:30:12.100,600029,6.83,1700,350352,B,A
09:30:12.100,600029,6.83,2100,350353,B,A
09:30:12.130,600029,7.48,8000,350534,S,A
09:30:12.240,600029,7.4,500,351352,S,A
09:30:12.290,600029,6.83,1800,351835,B,A
09:30:12.290,600029,6.83,1600,351836,B,A
09:30:12.380,600029,7.09,10000,352622,S,A
09:30:12.420,600029,7.0,1200,352984,S,A
09:30:12.500,600029,6.65,500,353982,B,A
09:30:12.540,600029,6.89,1300,354179,S,A
09:30:12.540,600029,6.83,400,354234,B,A
09:30:12.540,600029,6.81,26000,312668,B,D
09:30:12.600,600029,6.83,6100,354839,B,A
09:30:12.600,600029,6.83,14600,354889,B,A
09:30:12.640,600029,6.84,29100,355228,S,A
09:30:12.640,600029,6.72,1000,355258,B,A
09:30:12.750,600029,6.83,18700,355868,B,A
09:30:12.790,600029,6.83,700,356248,B,A
09:30:12.790,600029,7.09,600,356255,S,A
09:30:13.140,600029,6.45,1300,357769,B,A
09:30:13.140,600029,6.81,800,357872,B,A
09:30:13.170,600029,6.89,700,357922,S,A
09:30:13.200,600029,6.42,4000,358175,B,A
09:30:13.380,600029,6.84,100,358828,S,A
09:30:13.620,600029,6.83,200,359911,B,A
09:30:13.620,600029,7.0,11200,359937,S,A
09:30:13.790,600029,6.83,3200,360578,B,A
09:30:13.820,600029,6.99,5000,360719,S,A
09:30:13.880,600029,6.84,100,360950,S,A
09:30:13.940,600029,6.83,1800,361203,B,A
09:30:14.080,600029,6.84,24000,361773,S,A
09:30:14.120,600029,7.0,500,362018,S,A
09:30:14.280,600029,7.0,5000,362850,S,A
09:30:14.410,600029,6.84,92800,363025,S,A
09:30:14.410,600029,7.0,7200,363226,S,A
09:30:14.490,600029,6.58,4000,293993,B,D
09:30:14.580,600029,6.9,100,364146,S,A
09:30:14.690,600029,7.12,1200,364522,S,A
09:30:14.850,600029,6.83,3600,365211,B,A
09:30:14.930,600029,6.83,200,365484,B,A
09:30:14.930,600029,6.83,1500,365485,B,A
09:30:14.990,600029,6.83,1600,365719,B,A
09:30:15.150,600029,6.83,1783,328674,B,D
09:30:15.260,600029,6.83,3600,365211,B,D
09:30:15.380,600029,7.2,900,368258,S,A
09:30:15.420,600029,6.95,20000,368563,S,A
09:30:15.520,600029,6.83,14600,354889,B,D
09:30:15.520,600029,6.83,6100,354839,B,D
09:30:15.520,600029,6.83,1300,333180,B,D
09:30:15.560,600029,6.83,2000,369631,B,A
09:30:15.720,600029,7.34,200,370895,S,A
09:30:15.810,600029,6.83,2300,371607,B,A
09:30:16.040,600029,7.08,5000,373392,S,A
09:30:16.190,600029,6.8,1800,343496,B,D
09:30:16.220,600029,6.83,1800,373920,B,A
09:30:16.220,600029,7.48,800,374011,S,A
09:30:16.220,600029,6.83,11900,374034,B,A
09:30:16.510,600029,7.06,19500,375117,S,A
09:30:16.700,600029,7.4,700,375812,S,A
09:30:16.700,600029,7.48,500,375912,S,A
09:30:17.250,600029,6.83,2300,377367,B,A
09:30:17.650,600029,7.0,6000,378432,S,A
09:30:18.240,600029,6.5,1500,380570,B,A
09:30:18.280,600029,7.09,7900,381144,S,A
09:30:18.590,600029,6.83,700,356248,B,D
09:30:18.880,600029,7.0,500,384840,S,A
09:30:18.880,600029,7.0,200,384983,S,A
09:30:19.130,600029,6.99,1000,385611,S,A
09:30:19.220,600029,7.46,2000,385861,S,A
09:30:19.420,600029,6.85,500,386494,S,A
09:30:20.320,600029,6.83,1500,365485,B,D
09:30:20.320,600029,6.83,200,365484,B,D
09:30:20.350,600029,6.83,1600,365719,B,D
09:30:20.810,600029,6.83,2300,371607,B,D
09:30:20.850,600029,6.86,4000,388740,S,A
09:30:21.110,600029,6.84,5400,389521,S,A
09:30:21.240,600029,6.96,400,390342,S,A
09:30:21.380,600029,6.83,133,391089,S,A
09:30:21.380,600029,6.83,4500,391090,S,A
09:30:21.660,600029,6.83,2800,392732,S,A
09:30:21.660,600029,6.83,600,392733,S,A
09:30:21.660,600029,6.83,1300,392735,S,A
09:30:21.770,600029,6.83,7500,393066,S,A
09:30:21.810,600029,7.0,900,393304,S,A
09:30:21.810,600029,6.99,1300,393339,S,A
09:30:21.890,600029,6.83,700,393591,S,A
09:30:21.920,600029,7.06,10200,393769,S,A
09:30:22.050,600029,6.83,2900,394148,S,A
09:30:22.050,600029,6.83,400,394149,S,A
09:30:22.050,600029,6.83,2600,394150,S,A
09:30:22.050,600029,6.83,1500,394155,S,A
09:30:23.680,600029,7.1,10000,396482,S,A
09:30:23.740,600029,6.83,267,396583,B,A
09:30:23.870,600029,6.82,500,396836,B,A
09:30:24.150,600029,6.84,4500,397829,S,A
09:30:24.150,600029,6.84,5700,397832,S,A
09:30:24.150,600029,6.84,14600,397951,S,A
09:30:24.150,600029,6.83,25633,397978,S,A
09:30:24.190,600029,6.83,35900,398214,S,A
09:30:24.220,600029,6.83,100,398272,S,A
09:30:24.220,600029,6.83,200,398421,S,A
09:30:24.330,600029,6.83,100,399155,S,A
09:30:24.370,600029,6.83,200,399260,S,A
09:30:24.440,600029,6.84,2000,399567,S,A
09:30:24.440,600029,6.83,31500,399603,S,A
09:30:24.500,600029,6.83,200,399847,S,A
09:30:24.500,600029,6.83,200,399943,S,A
09:30:24.540,600029,6.83,200,399989,S,A
09:30:24.540,600029,6.83,100,399999,S,A
09:30:24.540,600029,6.83,200,400050,S,A
09:30:24.540,600029,6.83,200,400051,S,A
09:30:24.570,600029,7.38,600,400285,S,A
09:30:24.570,600029,6.83,100,400296,S,A
09:30:24.570,600029,6.83,200,400297,S,A
09:30:24.570,600029,6.83,200,400298,S,A
09:30:24.600,600029,6.83,200,400344,S,A
09:30:24.600,600029,6.83,200,400345,S,A
09:30:24.600,600029,6.83,25900,400544,S,A
09:30:24.600,600029,6.83,90300,400549,S,A
09:30:24.740,600029,6.83,2600,401150,S,A
09:30:24.890,600029,6.81,3000,401630,B,A
09:30:24.890,600029,6.83,2600,401701,S,A
09:30:24.890,600029,6.83,500,401717,S,A
09:30:25.260,600029,6.83,100,402960,S,A
09:30:25.470,600029,6.83,200,403418,S,A
09:30:25.610,600029,7.17,1000,403651,S,A
09:30:25.640,600029,7.1,1000,403735,S,A
09:30:25.760,600029,6.83,700,403997,S,A
09:30:26.220,600029,6.84,500,404615,S,A
09:30:26.380,600029,6.83,17,404817,S,A
09:30:26.480,600029,6.83,300,404973,S,A
09:30:26.780,600029,6.84,800,405634,S,A
09:30:26.850,600029,7.26,1100,405760,S,A
09:30:27.100,600029,6.83,4700,406550,S,A
09:30:27.100,600029,6.82,22700,406579,S,A
09:30:27.170,600029,6.82,1700,406850,S,A
09:30:27.170,600029,6.84,4500,397829,S,D
09:30:27.170,600029,6.84,5700,397832,S,D
09:30:27.170,600029,6.84,14600,397951,S,D
09:30:27.210,600029,6.82,800,407000,S,A
09:30:27.210,600029,6.82,25900,407046,S,A
09:30:27.210,600029,6.84,5400,389521,S,D
09:30:27.210,600029,6.82,900,407084,S,A
09:30:27.240,600029,6.83,200,398421,S,D
09:30:27.240,600029,6.82,200,407097,S,A
09:30:27.240,600029,6.82,100,407261,S,A
09:30:27.240,600029,6.82,100,407262,S,A
09:30:27.270,600029,6.82,300,407280,S,A
09:30:27.270,600029,6.82,100,407281,S,A
09:30:27.270,600029,6.82,900,407311,S,A
09:30:27.270,600029,6.82,500,407312,S,A
09:30:27.270,600029,6.82,400,407313,S,A
09:30:27.270,600029,6.83,100,398272,S,D
09:30:27.270,600029,6.82,500,407324,S,A
09:30:27.270,600029,6.82,9000,407330,S,A
09:30:27.270,600029,6.82,100,407368,S,A
09:30:27.270,600029,6.82,900,407387,S,A
09:30:27.340,600029,6.73,600,407498,B,A
09:30:27.370,600029,6.82,500,407676,S,A
09:30:27.400,600029,6.82,3600,407788,S,A
09:30:27.440,600029,6.82,200,407924,S,A
09:30:27.440,600029,6.82,100,407925,S,A
09:30:27.440,600029,6.82,100,407926,S,A
09:30:27.440,600029,6.82,200,407927,S,A
09:30:27.440,600029,6.82,1200,407940,S,A
09:30:27.440,600029,6.82,1500,407941,S,A
